Date,Open,High,Low,Close,Volume,Moving_Volatility,RSI,MACD,Signal,Histogram
2022-03-25,173.880005,175.279999,172.75,174.720001,80546200,0.05712219419028,67.60273583320574,3.254744603511,1.3609239916241558,1.893820611886844
2022-03-28,172.169998,175.729996,172.0,175.600006,90371900,0.0568359310081568,71.2050450784669,3.7803599052991785,1.8448111743591604,1.935548730940018
2022-03-29,176.690002,179.009995,176.339996,178.960007,100589400,0.0557688278702846,69.68281840036848,4.417120008919,2.3592729412711284,2.057847067647871
2022-03-30,178.550003,179.610001,176.699997,177.770004,92633200,0.0561421477272843,75.71465088812124,4.770739565784453,2.841566266173793,1.9291732996106596
2022-03-31,177.839996,178.029999,174.399994,174.610001,103049300,0.057158179765705,77.01086240994022,4.741344511296887,3.221521915198412,1.519822596098475
2022-04-01,174.029999,174.880005,171.940002,174.309998,78751300,0.057256554073553,85.9048013300669,4.640349918620871,3.5052875158829044,1.135062402737966
2022-04-04,174.570007,178.490005,174.440002,178.440002,76468400,0.0559313478714707,85.75802271630612,4.8378006289901805,3.77179013850436,1.0660104904858207
2022-04-05,177.5,178.300003,174.419998,175.059998,73401800,0.0570112529422508,74.53217294623576,4.667736899177072,3.950979490638903,0.7167574085381694
2022-04-06,172.360001,173.630005,170.130005,171.830002,89058800,0.0580829291153004,66.61725272681349,4.223639003748843,4.005511393260891,0.2181276104879526
2022-04-07,171.160004,173.360001,169.850006,172.139999,77594700,0.0579783309168482,63.29856162456286,3.8522955243819865,3.97486821948511,-0.1225726951031234
2022-04-08,171.779999,171.779999,169.199997,170.089996,76575500,0.0586771124743158,57.51673913719727,3.353923094400756,3.8506791944682393,-0.4967561000674836
2022-04-11,168.710007,169.029999,165.5,165.75,72246700,0.0602135132793238,45.23734696867962,2.5790285114308347,3.5963490578607584,-1.0173205464299238
2022-04-12,168.020004,169.869995,166.639999,167.660004,79265200,0.0595275533098993,46.10686719224966,2.094891724073449,3.2960575911032968,-1.201165867029848
2022-04-13,167.389999,171.039993,166.770004,170.399994,70618900,0.0585703648912565,44.198525682660254,1.9102835661828976,3.018902786119217,-1.1086192199363194
2022-04-14,170.619995,171.270004,165.039993,165.289993,75329400,0.0603810892898273,36.93543171498954,1.3362425243463465,2.6823707337646434,-1.3461282094182971
2022-04-18,163.919998,166.600006,163.570007,165.070007,69023900,0.0604615581439209,35.139709743386675,0.8537186935701868,2.316640325725752,-1.4629216321555654
2022-04-19,165.020004,167.820007,163.910004,167.399994,67723800,0.0596200130452091,33.197644287771524,0.6518118780780924,1.9836746361962203,-1.331862758118128
2022-04-20,168.759995,168.880005,166.100006,167.229996,67929800,0.0596806198933828,34.21207782774957,0.4726336280135967,1.6814664345596957,-1.208832806546099
2022-04-21,168.910004,171.529999,165.910004,166.419998,87227800,0.0599710968993517,36.80307490976299,0.2622504448802942,1.3976232366238155,-1.1353727917435212
2022-04-22,166.460007,167.869995,161.5,161.789993,84882400,0.061687312305205,32.29635749835593,-0.2749134216188054,1.0631159049752914,-1.3380293265940968
2022-04-25,161.119995,163.169998,158.460007,162.880005,96046400,0.0612744936129387,25.92820533144869,-0.6056828620768613,0.7293561515648609,-1.335039013641722
2022-04-26,162.25,162.339996,156.720001,156.800003,95623200,0.0636504441013813,23.92917185025109,-1.3429447443493814,0.3148959723820125,-1.657840716731394
2022-04-27,155.910004,159.789993,155.380005,156.570007,88063200,0.0637439444327797,26.17113223740364,-1.9236146208381228,-0.1328061462620146,-1.7908084745761084
2022-04-28,159.25,164.520004,158.929993,163.639999,130216800,0.0609899162004268,39.04073417141226,-1.7926459073083263,-0.464774098471277,-1.3278718088370494
2022-04-29,161.839996,166.199997,157.25,157.649994,131747600,0.0633072642302031,35.44006302135175,-2.147441235371246,-0.801307525851271,-1.3461337095199757
2022-05-02,156.710007,158.229996,153.270004,157.960007,123055300,0.0631830171167815,39.932805355516976,-2.37621213644195,-1.1162884479694068,-1.259923688472543
2022-05-03,158.149994,160.710007,156.320007,159.479996,88966500,0.0625808256607175,39.32113113040104,-2.4071165730478583,-1.3744540729850971,-1.0326625000627612
2022-05-04,159.669998,166.479996,159.259995,166.020004,108256500,0.0601155859871436,44.79811064898261,-1.882187882946539,-1.4760008349773854,-0.4061870479691536
2022-05-05,163.850006,164.080002,154.949997,156.770004,130525300,0.0636626240441247,40.7872073319153,-2.187361269528708,-1.61827292188765,-0.569088347641058
2022-05-06,156.009995,159.440002,154.179993,157.279999,116124600,0.0634561920746701,41.62904792481666,-2.360846671899054,-1.766787671889931,-0.5940590000091233
2022-05-09,154.929993,155.830002,151.490005,152.059998,131577900,0.0656345518697687,34.4799760670187,-2.8862743840479084,-1.990685014321527,-0.8955893697263817
2022-05-10,155.520004,156.740005,152.929993,154.509995,115366700,0.0645938136626561,37.69826131276259,-3.069600900585641,-2.20646819157435,-0.8631327090112912
2022-05-11,153.5,155.449997,145.809998,146.5,142689800,0.0681255278228527,33.089987590047514,-3.817225540031586,-2.528619661265797,-1.288605878765789
2022-05-12,142.770004,146.199997,138.800003,142.559998,182602000,0.0700083471244712,33.48222583022752,-4.6737723482580975,-2.9576501986642576,-1.71612214959384
2022-05-13,144.589996,148.100006,143.110001,147.110001,113990900,0.067843040977533,37.214200979022245,-4.9286304646947485,-3.351846251870356,-1.5767842128243927
2022-05-16,145.550003,147.520004,144.179993,145.539993,86643800,0.0685748956030795,40.15044680444371,-5.197381701621538,-3.720953341820593,-1.476428359800945
2022-05-17,148.860001,149.770004,146.679993,149.240005,78336300,0.0668747620723272,43.95513806425369,-5.05355471401009,-3.9874736162584927,-1.0660810977515975
2022-05-18,146.850006,147.360001,139.899994,140.820007,109742900,0.0708733797041206,31.590849928907303,-5.554960137231774,-4.300970920453149,-1.253989216778625
2022-05-19,139.880005,141.660004,136.600006,137.350006,136095600,0.0726639198402942,32.9297170450744,-6.161303951582283,-4.673037526678976,-1.4882664249033075
2022-05-20,139.089996,140.699997,132.610001,137.589996,137426100,0.0725371765113499,32.85063870693128,-6.547000855115243,-5.047830192366229,-1.4991706627490142
2022-05-23,137.789993,143.259995,137.649994,143.110001,117726300,0.0697392897513006,37.087875747435575,-6.334233063238031,-5.30511076654059,-1.029122296697441
2022-05-24,140.809998,141.970001,137.330002,140.360001,104132700,0.0711056551363798,28.473154373289542,-6.314722877998179,-5.507033188832108,-0.8076896891660708
2022-05-25,138.429993,141.789993,138.339996,140.520004,92482700,0.0710246907340532,33.91407960427091,-6.214710694371547,-5.648568689939996,-0.5661420044315513
2022-05-26,137.389999,144.339996,137.139999,143.779999,90601500,0.0694143128074992,37.32632607368536,-5.805474075354994,-5.679949767022995,-0.1255243083319985
2022-05-27,145.389999,149.679993,145.259995,149.639999,90978500,0.0666960030255542,47.75510334206329,-4.951223458457633,-5.534204505309923,0.5829810468522894
2022-05-31,149.070007,150.660004,146.839996,148.839996,103718400,0.0670544886741862,44.574165192825234,-4.289332491276468,-5.285230102503232,0.9958976112267636
2022-06-01,149.899994,151.740005,147.679993,148.710007,74286600,0.0671131017164697,52.49042883733724,-3.732245158114239,-4.974633113625433,1.2423879555111943
2022-06-02,147.830002,151.270004,146.860001,151.210007,72348100,0.0660035008532731,60.07454878625795,-3.0538178155157425,-4.590470054003495,1.5366522384877523
2022-06-03,146.899994,147.970001,144.460007,145.380005,88570300,0.068650361004238,48.04343387632065,-2.9525564637304456,-4.262887335948885,1.3103308722184392
2022-06-06,147.029999,148.570007,144.899994,146.139999,71598400,0.068293348120578,50.69125127785811,-2.778946977702276,-3.9660992642995634,1.1871522865972874
2022-06-07,144.350006,149.0,144.100006,148.710007,67808200,0.0671131017164697,49.37308001911137,-2.4062443549998704,-3.654128282439625,1.2478839274397546
2022-06-08,148.580002,149.869995,147.460007,147.960007,53950200,0.0674532938218091,60.3179220547623,-2.1466483474125084,-3.3526322954342023,1.2059839480216938
2022-06-09,147.080002,147.949997,142.529999,142.639999,69473000,0.0699690822771804,57.25650676788369,-2.343186035514549,-3.150743043450272,0.8075570079357228
2022-06-10,140.279999,140.759995,137.059998,137.130005,91437900,0.0727804963330084,49.448716454507554,-2.9100092608308046,-3.102596286926379,0.1925870260955742
2022-06-13,132.869995,135.199997,131.440002,131.880005,122207100,0.0756778089752721,36.45356202082539,-3.739742451482215,-3.2300255198375463,-0.5097169316446686
2022-06-14,133.130005,133.889999,131.479996,132.759995,84784300,0.0751761841061227,40.39918053390519,-4.277001533029818,-3.439420722476001,-0.837580810553817
2022-06-15,134.289993,137.339996,132.160004,135.429993,91533000,0.0736940880300269,43.95341732129706,-4.436198961216348,-3.6387763702240714,-0.7974225909922779
2022-06-16,132.080002,132.389999,129.039993,130.059998,108123900,0.0767368136208023,34.47963020508374,-4.938746986590786,-3.898770493497413,-1.0399764930933726
2022-06-17,130.070007,133.080002,129.809998,131.559998,134520300,0.0758618879429287,27.30922487040759,-5.156541057905912,-4.1503246063791135,-1.0062164515267984
2022-06-21,133.419998,137.059998,133.320007,135.869995,81000500,0.0734554367654752,35.040359307033995,-4.924596013404596,-4.30517888778421,-0.6194171256203855
